Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,297465,-,-,-,51.65,-111.94,-7,821,-7,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.1.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2008,1,1,0,30,0,0,0,-17,-15,930,273,2.6,0.87
2008,1,1,1,30,0,0,0,-18,-16,930,274,2.7,0.87
2008,1,1,2,30,0,0,0,-19,-16,930,278,2.9000000000000004,0.87
2008,1,1,3,30,0,0,0,-20,-16,930,284,3.1,0.87
2008,1,1,4,30,0,0,0,-20,-17,930,292,3.2,0.87
2008,1,1,5,30,0,0,0,-21,-17,930,304,3.3000000000000003,0.87
2008,1,1,6,30,0,0,0,-21,-17,930,318,3.2,0.87
2008,1,1,7,30,0,0,0,-20,-17,930,331,3.1,0.87
2008,1,1,8,30,0,0,0,-20,-16,930,341,2.9000000000000004,0.87
2008,1,1,9,30,192,34,53,-19,-15,930,349,2.6,0.87
2008,1,1,10,30,306,62,119,-18,-14,930,1,2.2,0.87
2008,1,1,11,30,224,93,148,-17,-12,930,20,1.4000000000000001,0.87
2008,1,1,12,30,830,54,274,-16,-12,930,71,1.2000000000000002,0.87
2008,1,1,13,30,808,52,251,-16,-12,930,138,1.7000000000000002,0.87
2008,1,1,14,30,16,69,72,-15,-12,930,148,2.2,0.87
2008,1,1,15,30,50,36,41,-16,-13,930,150,2.8000000000000003,0.87
2008,1,1,16,30,0,0,0,-16,-13,930,151,3.5,0.87
2008,1,1,17,30,0,0,0,-16,-13,930,150,4.3,0.87
2008,1,1,18,30,0,0,0,-16,-13,930,148,4.9,0.87
2008,1,1,19,30,0,0,0,-16,-13,930,147,5.300000000000001,0.87
2008,1,1,20,30,0,0,0,-16,-13,930,147,5.7,0.87
2008,1,1,21,30,0,0,0,-15,-12,920,148,6.2,0.87
2008,1,1,22,30,0,0,0,-15,-11,920,149,6.5,0.87
